seed,policy,tick,mass,massRatio,energy,energyRatio,freeEnergy,occupiedFraction,activity
101,Q_LEARNING,1470,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1500,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1530,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1560,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1590,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1620,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1650,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1680,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1710,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1740,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1770,0,0.0,0,0.0,2643.2640781998634,0,0
101,Q_LEARNING,1800,0,0.0,0,0.0,2643.2640781998634,0,0
102,RANDOM,0,232.08000008761883,1.0,185.66400108486414,1.0,2457.60009765625,0.03167724609375,0
102,RANDOM,30,229.69263696015696,0.9897131888721107,36.3226969168536,0.19563672389162323,2606.9412265382125,0.0321044921875,0.02773857742368868
102,RANDOM,60,217.87447928189067,0.9387904136488925,37.13460702769953,0.20000973161580138,2606.1293156213796,0.03033447265625,0.025501999561091893
102,RANDOM,90,129.49642454949208,0.5579818360074215,22.357334442419415,0.12041825185163506,2620.9065882236173,0.01708984375,0.020603809730342704
102,RANDOM,120,77.09047636389732,0.3321719938589831,12.459389960335102,0.06710719303436807,2630.804531912363,0.010986328125,0.012349729790670949
102,RANDOM,150,73.70366377413302,0.3175786959079074,12.29462422139477,0.06621975261523685,2630.9692980951804,0.01031494140625,0.009003869578766643
102,RANDOM,180,75.42426647129469,0.3249925303465151,11.84947311427095,0.06382213592851928,2631.414449253978,0.01019287109375,0.008864375684173087
102,RANDOM,210,77.50923042115755,0.33397634605263243,13.385981685052684,0.07209788438704474,2629.877940332037,0.010009765625,0.009167375836284464
102,RANDOM,240,75.35192192858085,0.32468080791163695,15.553464981989237,0.08377210924631527,2627.71045669647,0.01019287109375,0.009081037779751
102,RANDOM,270,77.54088688944466,0.33411274931131546,13.167266293457942,0.07091986716067478,2630.096653926812,0.01080322265625,0.009111203538409995
102,RANDOM,300,78.23921371414326,0.33712174114359295,13.551168663980206,0.0729875936358076,2629.7127513052546,0.01080322265625,0.009384364498686182
102,RANDOM,330,77.19234413979575,0.332610927743247,13.340049894264666,0.07185049237502501,2629.923869260252,0.01080322265625,0.00937085586799924
102,RANDOM,360,80.635239839321,0.3474458799072656,14.057442511177214,0.07571442190751763,2629.2064761045913,0.01123046875,0.009386694527236727
102,RANDOM,390,74.31594596104696,0.3202169335271886,12.291341690189483,0.06620207266012382,2630.972577058099,0.0101318359375,0.009291410596645733
102,RANDOM,420,77.09336863140925,0.33218445623191845,13.190248302271357,0.0710436499547497,2630.073670165453,0.01080322265625,0.009108449900265825
102,RANDOM,450,74.12586677480795,0.31939790911247273,12.673916896808805,0.06826265093261538,2630.5900011416816,0.010009765625,0.009073997030539571
102,RANDOM,480,82.1053975711111,0.35378058229969517,14.286005562666105,0.07694547935620645,2628.977911546506,0.01141357421875,0.009401082518656567
102,RANDOM,510,78.43178673228249,0.3379515111283677,14.174001336825313,0.07634221633706255,2629.0899155455845,0.0115966796875,0.009743205752371864
102,RANDOM,540,79.71499203900748,0.3434806618791456,14.284664358267037,0.07693825553041776,2628.979252631645,0.01165771484375,0.009575180547471085
102,RANDOM,570,80.41239434653835,0.34648567009729264,9.192578457936179,0.04951190540019868,2634.0713378067594,0.0113525390625,0.009722911304969273
102,RANDOM,600,79.38920831831638,0.3420769057581179,9.260526363574172,0.04987787783018491,2634.0033901103307,0.01116943359375,0.00969356890240558
102,RANDOM,630,80.87589726573788,0.3484828388280085,9.218614011027967,0.04965213480891366,2634.045282015344,0.01116943359375,0.009673215607641339
102,RANDOM,660,79.52420492563397,0.34265858710621605,9.52346240865154,0.05129407075687501,2633.740407749603,0.01080322265625,0.009737476225851083
102,RANDOM,690,79.1976762827253,0.3412516212203776,9.108885877825742,0.049061130992551494,2634.154983183602,0.01165771484375,0.009464829689612486
102,RANDOM,720,80.41156452533323,0.34648209451471423,9.12917958280741,0.04917043438396334,2634.134688362945,0.01129150390625,0.00966649155409982
102,RANDOM,750,82.45391612377716,0.35528229960637603,9.444818210387893,0.0508704873061031,2633.819049498765,0.01153564453125,0.00984770631707832
102,RANDOM,780,81.13779528951272,0.3496113204881084,9.399025851533224,0.050623846284757565,2633.8648406891734,0.0111083984375,0.00991070133788341
102,RANDOM,810,78.12637526448816,0.3366355361728393,9.348856556105602,0.05035363076029146,2633.914857703261,0.01141357421875,0.009580423702374219
102,RANDOM,840,81.19003126534517,0.3498363979433511,10.518586112310004,0.0566538804014146,2632.7450701717753,0.00982666015625,0.00920768453383225
102,RANDOM,870,65.54645104147494,0.2824304163078624,9.171518839644705,0.04939847674322469,2634.092136656953,0.0078125,0.006593069116801686
102,RANDOM,900,0,0.0,0,0.0,2643.2636556327343,0,0.004000637880949398
102,RANDOM,930,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,960,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,990,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1020,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1050,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1080,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1110,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1140,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1170,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1200,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1230,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1260,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1290,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1320,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1350,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1380,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1410,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1440,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1470,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1500,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1530,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1560,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1590,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1620,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1650,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1680,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1710,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1740,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1770,0,0.0,0,0.0,2643.2636556327343,0,0
102,RANDOM,1800,0,0.0,0,0.0,2643.2636556327343,0,0
102,Q_LEARNING,0,232.08000008761883,1.0,185.66400108486414,1.0,2457.60009765625,0.03167724609375,0
102,Q_LEARNING,30,229.69263696015696,0.9897131888721107,36.3226969168536,0.19563672389162323,2606.9412265382125,0.0321044921875,0.02773857742368868
